Company,Sector,Stage,Amount,Location,About,Funding Year
TheCollegeFever,Brand Marketing,Seed,250000.0,Bengaluru,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018
Happy Cow Dairy,Agriculture,Seed,485093.94,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018
MyLoanCare,Credit,Series A,788277.65,Gurgaon,Leading Online Loans Marketplace in India,2018
PayMe India,Financial Services,Angel,2000000.0,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018
Eunimart,E-Commerce Platforms,Seed,,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,2018
Hasura,Cloud Infrastructure,Seed,1600000.0,Bengaluru,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018
Tripshelf,Internet,Seed,194037.57,Kalkaji,Tripshelf is an online market place for holiday packages.,2018
Hyperdata.IO,Market Research,Angel,606367.42,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,2018
Freightwalla,Information Services,Seed,,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,2018
Microchip Payments,Mobile Payments,Seed,,Bengaluru,Microchip payments is a mobile-based payment application and point-of-sale device,2018
BizCrum Infotech Pvt. Ltd.,B2B,Seed,,Delhi,Building Transactionary B2B Marketplaces,2018
Emojifi,Internet,Seed,,Bengaluru,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",2018
Flock,Apps,Seed,,India,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,2018
Freshboxx,Food Delivery,Seed,,Hubli,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",2018
Wide Mobility Mechatronics,Industrial Automation,Seed,,Bengaluru,Wide Mobility Mechatronics is a Private Company limited by Shares,2018
Pitstop,Automotive,Seed,1212734.84,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2018
Mihuru,Finance,Seed,150000.0,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,2018
Fyle,Accounting,Seed,1100000.0,Bengaluru,Fyle is an intelligent expense management platform for enterprises.,2018
AppWharf,Artificial Intelligence,Seed,,Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2018
Antariksh Waste Ventures Pvt ltd,Internet Of Things,Seed,6063.67,Chennai,Waste Management for Smart Cities,2018
Cogoport,Air Transportation,Series A,6000000.0,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018
PaisaDukan,Financial Services,Seed,650000.0,Mumbai,A P2P lending marketplace platform,2018
Sleepy Owl Coffee,Food And Beverage,Seed,424457.19,Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018
BlueJack,Autonomous Vehicles,Seed,776150.3,Delhi,Delhi-based online used vehicles marketplace.,2018
PregBuddy,Enterprise Software,Seed,,Bengaluru,PregBuddy is a smart connected care platform for expecting mothers.,2018
AgNext Technologies,Agriculture,Series A,,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018
